date,min,max,median,q1,q3,stdev,count
2022-12-21T00:00:00.000Z,13,55,38,20,51,14.648,135
2022-12-22T00:00:00.000Z,18,53,41.5,31,45,8.627,148
2022-12-23T00:00:00.000Z,21,50,42,26,47.5,10.382,132
2022-12-24T00:00:00.000Z,21,51,34,27,43,8.801,175
2022-12-25T00:00:00.000Z,21,64,49,34,60,13.608,193
2022-12-26T00:00:00.000Z,25,70,50,35,62,13.39,188
2022-12-27T00:00:00.000Z,11,67,51,21,63,20.336,138
2022-12-28T00:00:00.000Z,16,41,29,21,33.5,7.015,104
2022-12-29T00:00:00.000Z,15,73,52,38,66,17.831,214
2022-12-30T00:00:00.000Z,16,64,44,23,58,16.261,189
2022-12-31T00:00:00.000Z,14,64,45,22,58,16.999,167
2023-01-01T00:00:00.000Z,25,63,45,35,56,10.504,177
2023-01-02T00:00:00.000Z,45,70,64,61,66,5.148,142
2023-01-03T00:00:00.000Z,37,67,55,46,63,8.747,193
2023-01-04T00:00:00.000Z,14,68,33.5,20,62,19.931,158
2023-01-05T00:00:00.000Z,18,68,49.5,30.5,60,15.424,172
2023-01-06T00:00:00.000Z,14,57,40,20,54,15.259,159
2023-01-07T00:00:00.000Z,24,59,34,28,51,11.297,176
2023-01-08T00:00:00.000Z,6,70,52,24.5,62.5,20.808,180
2023-01-09T00:00:00.000Z,10,37,23,14,29,7.65,143
2023-01-10T00:00:00.000Z,14,41,30,19,37,8.664,117
2023-01-11T00:00:00.000Z,18,52,28,25,37,8.36,146
2023-01-12T00:00:00.000Z,15,68,51,24,62,18.328,174
2023-01-13T00:00:00.000Z,12,54,36,19.5,47,13.632,137
2023-01-14T00:00:00.000Z,9,46,35.5,20,43,12.584,130
2023-01-15T00:00:00.000Z,15,41,29.5,22,36,7.249,106
2023-01-16T00:00:00.000Z,11,56,44,20.5,50,14.978,177
2023-01-17T00:00:00.000Z,19,51,32,29,42,8.304,135
2023-01-18T00:00:00.000Z,37,71,54,49,64,8.907,163
2023-01-19T00:00:00.000Z,15,69,50,27.5,60,17.457,176
2023-01-20T00:00:00.000Z,22,56,38,30,47,9.433,159
2023-01-21T00:00:00.000Z,30,57,48,36,52,8.321,166
2023-01-22T00:00:00.000Z,19,60,43,30,54,12.693,182
2023-01-23T00:00:00.000Z,30,58,49,42,53,7.37,154
2023-01-24T00:00:00.000Z,26,66,57,35.5,61,12.637,136
2023-01-25T00:00:00.000Z,18,58,38,24,48,12.529,174
2023-01-26T00:00:00.000Z,12,57,39.5,18,53,16.326,134
2023-01-27T00:00:00.000Z,11,37,20,17,28,6.786,135
2023-01-28T00:00:00.000Z,23,57,34,32,40,6.937,159
2023-01-29T00:00:00.000Z,58,76,67,61,73,5.633,140
2023-01-30T00:00:00.000Z,40,68,64.5,47,66,10.103,142
2023-01-31T00:00:00.000Z,24,58,37,27,55,13,171
2023-02-01T00:00:00.000Z,13,63,44,23,56,17.121,171
2023-02-02T00:00:00.000Z,17,59,36,23,53.5,14.864,153
2023-02-03T00:00:00.000Z,4,63,43.5,19.5,57,18.856,152
2023-02-04T00:00:00.000Z,6,49,18,12,38,14.142,127
2023-02-05T00:00:00.000Z,12,52,29.5,19,42,12.455,156
2023-02-06T00:00:00.000Z,7,51,26,19,36,11.885,184
2023-02-07T00:00:00.000Z,14,57,27.5,18.5,47,14.02,184
2023-02-08T00:00:00.000Z,12,58,38,20,51,15.038,150
2023-02-09T00:00:00.000Z,20,84,37,30,59.5,18.251,185
2023-02-10T00:00:00.000Z,12,59,35.5,18,47,15.56,170
2023-02-11T00:00:00.000Z,14,59,37,22,51,14.673,142
2023-02-12T00:00:00.000Z,9,50,25,13,38,12.752,163
2023-02-13T00:00:00.000Z,11,57,37,18,51,15.774,143
2023-02-14T00:00:00.000Z,11,52,33,15,48,15.132,178
2023-02-15T00:00:00.000Z,21,72,62,47,65,12.247,202
2023-02-16T00:00:00.000Z,23,65,45,30,60,14.778,178
2023-02-17T00:00:00.000Z,16,61,38,24,56,15.321,193
2023-02-18T00:00:00.000Z,11,60,31,19,51,16.093,164
2023-02-19T00:00:00.000Z,15,41,22,18,29,6.866,168
2023-02-20T00:00:00.000Z,12,31,22,16,24,4.455,167
2023-02-21T00:00:00.000Z,8,60,33,15,50,17.42,167
2023-02-22T00:00:00.000Z,11,68,59,47,62,15.296,175
2023-02-23T00:00:00.000Z,26,64,48,33,58,12.213,221
2023-02-24T00:00:00.000Z,19,60,31,24,51,13.604,159
2023-02-25T00:00:00.000Z,11,61,36,24,53,16.044,151
2023-02-26T00:00:00.000Z,11,60,34.5,24,54,15.558,198
2023-02-27T00:00:00.000Z,8,27,14,11,24,6.249,101
2023-02-28T00:00:00.000Z,10,39,19,13,28,8.78,161
2023-03-01T00:00:00.000Z,16,48,29,22,34,8.239,171
2023-03-02T00:00:00.000Z,16,47,31,19,38,9.948,167
2023-03-03T00:00:00.000Z,9,56,36,16.5,51,15.859,145
2023-03-04T00:00:00.000Z,20,65,41,30,59,13.776,191
2023-03-05T00:00:00.000Z,6,59,39,18,48,16.721,123
2023-03-06T00:00:00.000Z,10,50,23,20,40,11.314,163
2023-03-07T00:00:00.000Z,26,66,56,51,62,9.76,130
2023-03-08T00:00:00.000Z,41,71,54,48,61,8.042,174
2023-03-09T00:00:00.000Z,19,68,35,26,59,16.433,178
2023-03-10T00:00:00.000Z,11,55,27,18.5,45,14.392,160
2023-03-11T00:00:00.000Z,21,50,31,28,37,6.847,184
2023-03-12T00:00:00.000Z,20,43,29,24,36,6.918,145
2023-03-13T00:00:00.000Z,16,45,23,18,34,9.608,131
2023-03-14T00:00:00.000Z,6,56,29.5,12,46,17.233,142
2023-03-15T00:00:00.000Z,9,38,17,13,27,8.299,127
2023-03-16T00:00:00.000Z,20,78,49,37,60.5,15.717,173
2023-03-17T00:00:00.000Z,21,60,43,27,55,13.87,206
2023-03-18T00:00:00.000Z,8,53,35,21.5,44,13.861,165
2023-03-19T00:00:00.000Z,9,42,16,11,28.5,10.545,141
2023-03-20T00:00:00.000Z,11,37,20,13,30,8.509,135
2023-03-21T00:00:00.000Z,8,58,24,13,43,15.686,187
2023-03-22T00:00:00.000Z,16,53,22,20,36,11.472,194
2023-03-23T00:00:00.000Z,7,58,22,10,45,17.916,183
2023-03-24T00:00:00.000Z,9,60,29,22,47,15.021,194
2023-03-25T00:00:00.000Z,8,48,18,10,37.5,13.345,128
2023-03-26T00:00:00.000Z,9,33,14,12,22,6.47,129
2023-03-27T00:00:00.000Z,7,64,39,17,59,19.651,167
2023-03-28T00:00:00.000Z,5,53,32,13,45,15.567,147
2023-03-29T00:00:00.000Z,8,38,20,14,28,7.863,143
2023-03-30T00:00:00.000Z,6,51,28,10.5,44,15.384,169
